source,target,distance
970,3180,4017.8487700016117
3180,970,4017.8487700016117
970,2846,4271.462102006718
2846,970,4271.462102006718
970,3662,4821.744373855765
3662,970,4821.744373855765
2000,2200,351.3497347613706
2200,2000,351.3497347613706
2000,3001,1760.2523659550654
3001,2000,1760.2523659550654
2000,3002,1770.7454686966557
3002,2000,1770.7454686966557
2200,3001,1409.7814460799539
3001,2200,1409.7814460799539
2200,3002,1422.8667896601337
3002,2200,1422.8667896601337
2820,3120,526.8817682208772
3120,2820,526.8817682208772
2820,2825,555.9746332220518
2825,2820,555.9746332220518
2820,3122,571.8864546996222
3122,2820,571.8864546996222
2825,2827,222.3898532892451
2827,2825,222.3898532892451
2825,3126,538.4489836087564
3126,2825,538.4489836087564
2827,3127,526.8317611985696
3127,2827,526.8317611985696
2827,3126,538.4419933467968
3126,2827,538.4419933467968
2846,2827,2112.7036062467673
2827,2846,2112.7036062467673
2846,4043,2133.0724555371326
4043,2846,2133.0724555371326
2846,3127,2177.382995254033
3127,2846,2177.382995254033
3001,3002,111.1949266449762
3002,3001,111.1949266449762
3001,3804,1444.399937809011
3804,3001,1444.399937809011
3002,3804,1422.8291755179182
3804,3002,1422.8291755179182
3120,3122,222.38985328853778
3122,3120,222.38985328853778
3120,3126,667.1695598670279
3126,3120,667.1695598670279
3122,3126,444.7797065784902
3126,3122,444.7797065784902
3122,3127,555.974633222759
3127,3122,555.974633222759
3126,3127,111.19492664426889
3127,3126,111.19492664426889
3180,3682,905.1545504197036
3682,3180,905.1545504197036
3180,3685,1038.7126281112444
3685,3180,1038.7126281112444
3180,4273,2081.434326252671
4273,3180,2081.434326252671
3662,4063,710.8546970710481
4063,3662,710.8546970710481
3662,4057,895.5992636534087
4057,3662,895.5992636534087
3662,4262,1053.1632157486436
4262,3662,1053.1632157486436
3682,3685,333.58477993351397
3685,3682,333.58477993351397
3682,4273,1452.6510590934442
4273,3682,1452.6510590934442
3685,4273,1699.7357279525017
4273,3685,1699.7357279525017
3804,3812,889.5594131569804
3812,3804,889.5594131569804
3812,4321,1331.4299651145836
4321,3812,1331.4299651145836
3812,3120,1517.5248225389685
3120,3812,1517.5248225389685
4030,4032,222.3898532892451
4032,4030,222.3898532892451
4030,4034,444.7797065784902
4034,4030,444.7797065784902
4030,4035,555.974633222759
4035,4030,555.974633222759
4032,4034,222.3898532892451
4034,4032,222.3898532892451
4032,4035,333.58477993351397
4035,4032,333.58477993351397
4034,4035,111.19492664426889
4035,4034,111.19492664426889
4035,4335,526.774600684814
4335,4035,526.774600684814
4040,4043,333.58477993351397
4043,4040,333.58477993351397
4040,4035,555.974633222759
4035,4040,555.974633222759
4040,4034,667.1695598670279
4034,4040,667.1695598670279
4043,4035,889.5594131562731
4035,4043,889.5594131562731
4043,4051,889.5594131569804
4051,4043,889.5594131569804
4051,4057,667.1695598677353
4057,4051,667.1695598677353
4051,4040,1223.1441930904944
4040,4051,1223.1441930904944
4057,4262,657.5373410763525
4262,4057,657.5373410763525
4057,4063,667.1695598670279
4063,4057,667.1695598670279
4063,4263,351.0496387186578
4263,4063,351.0496387186578
4063,4264,368.23699863059153
4264,4063,368.23699863059153
4063,4262,368.2415429124116
4262,4063,368.2415429124116
4262,4263,111.1949266449762
4263,4262,111.1949266449762
4262,4264,222.3898532892451
4264,4262,222.3898532892451
4263,4264,111.19492664426889
4264,4263,111.19492664426889
4263,4266,333.58477993351397
4266,4263,333.58477993351397
4264,4266,222.3898532892451
4266,4264,222.3898532892451
4266,4262,444.7797065784902
4262,4266,444.7797065784902
4270,4272,222.3898532892451
4272,4270,222.3898532892451
4270,4273,333.58477993351397
4273,4270,333.58477993351397
4270,4266,444.7797065784902
4266,4270,444.7797065784902
4272,4273,111.19492664426889
4273,4272,111.19492664426889
4272,4266,667.1695598677353
4266,4272,667.1695598677353
4273,4266,778.3644865120042
4266,4273,778.3644865120042
4321,4324,333.58477993351397
4324,4321,333.58477993351397
4321,4821,878.1243744667604
4821,4321,878.1243744667604
4321,4030,1130.9607611586393
4030,4321,1130.9607611586393
4324,4030,850.0981858028931
4030,4324,850.0981858028931
4324,4821,939.3347952159833
4821,4324,939.3347952159833
4335,4034,538.3860657429987
4034,4335,538.3860657429987
4335,4032,623.523518085199
4032,4335,623.523518085199
4812,4821,1000.7543398012493
4821,4812,1000.7543398012493
4812,4321,1331.4299651145836
4321,4812,1331.4299651145836
4812,4324,1597.3809887385169
4324,4812,1597.3809887385169
